Index	X	Sigmoid	Recon	Hex
0	0.000000	0.500000	0.500000	0x0080000
1	0.000977	0.500244	0.500244	0x0080100
2	0.001953	0.500488	0.500488	0x0080200
3	0.002930	0.500733	0.500732	0x0080300
4	0.003907	0.500977	0.500977	0x0080400
5	0.004884	0.501221	0.501221	0x0080500
6	0.005860	0.501465	0.501465	0x0080600
7	0.006837	0.501709	0.501709	0x0080700
8	0.007814	0.501953	0.501953	0x0080800
9	0.008790	0.502198	0.502197	0x0080900
10	0.009767	0.502442	0.502441	0x0080A00
11	0.010744	0.502686	0.502686	0x0080B00
12	0.011721	0.502930	0.502930	0x0080C00
13	0.012697	0.503174	0.503174	0x0080D00
14	0.013674	0.503418	0.503419	0x0080E01
15	0.014651	0.503663	0.503663	0x0080F01
16	0.015628	0.503907	0.503907	0x0081001
17	0.016604	0.504151	0.504151	0x0081101
18	0.017581	0.504395	0.504395	0x0081201
19	0.018558	0.504639	0.504640	0x0081301
20	0.019534	0.504883	0.504884	0x0081401
21	0.020511	0.505128	0.505128	0x0081501
22	0.021488	0.505372	0.505372	0x0081601
23	0.022465	0.505616	0.505616	0x0081701
24	0.023441	0.505860	0.505860	0x0081801
25	0.024418	0.506104	0.506104	0x0081901
26	0.025395	0.506348	0.506349	0x0081A01
27	0.026371	0.506592	0.506593	0x0081B01
28	0.027348	0.506837	0.506837	0x0081C01
29	0.028325	0.507081	0.507081	0x0081D01
30	0.029302	0.507325	0.507325	0x0081E01
31	0.030278	0.507569	0.507569	0x0081F01
32	0.031255	0.507813	0.507813	0x0082001
33	0.032232	0.508057	0.508058	0x0082101
34	0.033209	0.508301	0.508302	0x0082201
35	0.034185	0.508545	0.508546	0x0082301
36	0.035162	0.508790	0.508790	0x0082401
37	0.036139	0.509034	0.509034	0x0082501
38	0.037115	0.509278	0.509277	0x0082600
39	0.038092	0.509522	0.509521	0x0082700
40	0.039069	0.509766	0.509766	0x0082800
41	0.040046	0.510010	0.510010	0x0082900
42	0.041022	0.510254	0.510254	0x0082A00
43	0.041999	0.510498	0.510498	0x0082B00
44	0.042976	0.510742	0.510742	0x0082C00
45	0.043952	0.510986	0.510986	0x0082D00
46	0.044929	0.511230	0.511230	0x0082E00
47	0.045906	0.511474	0.511475	0x0082F00
48	0.046883	0.511719	0.511719	0x0083000
49	0.047859	0.511963	0.511963	0x0083100
50	0.048836	0.512207	0.512207	0x0083200
51	0.049813	0.512451	0.512450	0x00832FF
52	0.050790	0.512695	0.512694	0x00833FF
53	0.051766	0.512939	0.512938	0x00834FF
54	0.052743	0.513183	0.513183	0x00835FF
55	0.053720	0.513427	0.513427	0x00836FF
56	0.054696	0.513671	0.513671	0x00837FF
57	0.055673	0.513915	0.513915	0x00838FF
58	0.056650	0.514159	0.514158	0x00839FE
59	0.057627	0.514403	0.514402	0x0083AFE
60	0.058603	0.514647	0.514647	0x0083BFE
61	0.059580	0.514891	0.514891	0x0083CFE
62	0.060557	0.515135	0.515135	0x0083DFE
63	0.061533	0.515379	0.515379	0x0083EFE
64	0.062510	0.515622	0.515622	0x0083FFD
65	0.063487	0.515866	0.515866	0x00840FD
66	0.064464	0.516110	0.516110	0x00841FD
67	0.065440	0.516354	0.516355	0x00842FD
68	0.066417	0.516598	0.516598	0x00843FC
69	0.067394	0.516842	0.516842	0x00844FC
70	0.068371	0.517086	0.517086	0x00845FC
71	0.069347	0.517330	0.517330	0x00846FC
72	0.070324	0.517574	0.517573	0x00847FB
73	0.071301	0.517818	0.517817	0x00848FB
74	0.072277	0.518061	0.518062	0x00849FB
75	0.073254	0.518305	0.518306	0x0084AFB
76	0.074231	0.518549	0.518549	0x0084BFA
77	0.075208	0.518793	0.518793	0x0084CFA
78	0.076184	0.519037	0.519037	0x0084DFA
79	0.077161	0.519281	0.519280	0x0084EF9
80	0.078138	0.519524	0.519525	0x0084FF9
81	0.079114	0.519768	0.519769	0x00850F9
82	0.080091	0.520012	0.520012	0x00851F8
83	0.081068	0.520256	0.520256	0x00852F8
84	0.082045	0.520500	0.520499	0x00853F7
85	0.083021	0.520743	0.520743	0x00854F7
86	0.083998	0.520987	0.520988	0x00855F7
87	0.084975	0.521231	0.521231	0x00856F6
88	0.085951	0.521475	0.521475	0x00857F6
89	0.086928	0.521718	0.521718	0x00858F5
90	0.087905	0.521962	0.521962	0x00859F5
91	0.088882	0.522206	0.522205	0x0085AF4
92	0.089858	0.522449	0.522449	0x0085BF4
93	0.090835	0.522693	0.522694	0x0085CF4
94	0.091812	0.522937	0.522937	0x0085DF3
95	0.092789	0.523181	0.523181	0x0085EF3
96	0.093765	0.523424	0.523424	0x0085FF2
97	0.094742	0.523668	0.523667	0x00860F1
98	0.095719	0.523911	0.523911	0x00861F1
99	0.096695	0.524155	0.524155	0x00862F0
100	0.097672	0.524399	0.524399	0x00863F0
101	0.098649	0.524642	0.524642	0x00864EF
102	0.099626	0.524886	0.524886	0x00865EF
103	0.100602	0.525129	0.525129	0x00866EE
104	0.101579	0.525373	0.525373	0x00867ED
105	0.102556	0.525616	0.525617	0x00868ED
106	0.103532	0.525860	0.525860	0x00869EC
107	0.104509	0.526104	0.526104	0x0086AEC
108	0.105486	0.526347	0.526347	0x0086BEB
109	0.106463	0.526591	0.526590	0x0086CEA
110	0.107439	0.526834	0.526834	0x0086DEA
111	0.108416	0.527078	0.527078	0x0086EE9
112	0.109393	0.527321	0.527321	0x0086FE8
113	0.110370	0.527564	0.527564	0x00870E7
114	0.111346	0.527808	0.527808	0x00871E7
115	0.112323	0.528051	0.528051	0x00872E6
116	0.113300	0.528295	0.528295	0x00873E5
117	0.114276	0.528538	0.528538	0x00874E4
118	0.115253	0.528781	0.528782	0x00875E4
119	0.116230	0.529025	0.529025	0x00876E3
120	0.117207	0.529268	0.529268	0x00877E2
121	0.118183	0.529511	0.529511	0x00878E1
122	0.119160	0.529755	0.529755	0x00879E0
123	0.120137	0.529998	0.529998	0x0087ADF
124	0.121113	0.530241	0.530241	0x0087BDE
125	0.122090	0.530485	0.530485	0x0087CDE
126	0.123067	0.530728	0.530728	0x0087DDD
127	0.124044	0.530971	0.530972	0x0087EDC
128	0.125020	0.531214	0.531215	0x0087FDB
129	0.125997	0.531458	0.531458	0x00880DA
130	0.126974	0.531701	0.531701	0x00881D9
131	0.127951	0.531944	0.531944	0x00882D8
132	0.128927	0.532187	0.532187	0x00883D7
133	0.129904	0.532430	0.532431	0x00884D6
134	0.130881	0.532674	0.532674	0x00885D5
135	0.131857	0.532917	0.532917	0x00886D4
136	0.132834	0.533160	0.533160	0x00887D3
137	0.133811	0.533403	0.533402	0x00888D1
138	0.134788	0.533646	0.533646	0x00889D0
139	0.135764	0.533889	0.533889	0x0088ACF
140	0.136741	0.534132	0.534132	0x0088BCE
141	0.137718	0.534375	0.534375	0x0088CCD
142	0.138694	0.534618	0.534618	0x0088DCC
143	0.139671	0.534861	0.534862	0x0088ECB
144	0.140648	0.535104	0.535104	0x0088FC9
145	0.141625	0.535347	0.535347	0x00890C8
146	0.142601	0.535590	0.535590	0x00891C7
147	0.143578	0.535833	0.535833	0x00892C6
148	0.144555	0.536076	0.536076	0x00893C4
149	0.145531	0.536319	0.536319	0x00894C3
150	0.146508	0.536562	0.536562	0x00895C2
151	0.147485	0.536805	0.536804	0x00896C0
152	0.148462	0.537047	0.537047	0x00897BF
153	0.149438	0.537290	0.537291	0x00898BE
154	0.150415	0.537533	0.537533	0x00899BC
155	0.151392	0.537776	0.537776	0x0089ABB
156	0.152369	0.538019	0.538018	0x0089BB9
157	0.153345	0.538261	0.538261	0x0089CB8
158	0.154322	0.538504	0.538504	0x0089DB6
159	0.155299	0.538747	0.538747	0x0089EB5
160	0.156275	0.538990	0.538989	0x0089FB3
161	0.157252	0.539232	0.539232	0x008A0B2
162	0.158229	0.539475	0.539474	0x008A1B0
163	0.159206	0.539718	0.539718	0x008A2AF
164	0.160182	0.539960	0.539960	0x008A3AD
165	0.161159	0.540203	0.540203	0x008A4AC
166	0.162136	0.540445	0.540445	0x008A5AA
167	0.163112	0.540688	0.540688	0x008A6A8
168	0.164089	0.540931	0.540931	0x008A7A7
169	0.165066	0.541173	0.541173	0x008A8A5
170	0.166043	0.541416	0.541415	0x008A9A3
171	0.167019	0.541658	0.541658	0x008AAA2
172	0.167996	0.541901	0.541901	0x008ABA0
173	0.168973	0.542143	0.542143	0x008AC9E
174	0.169950	0.542385	0.542385	0x008AD9C
175	0.170926	0.542628	0.542628	0x008AE9B
176	0.171903	0.542870	0.542871	0x008AF99
177	0.172880	0.543113	0.543113	0x008B097
178	0.173856	0.543355	0.543355	0x008B195
179	0.174833	0.543597	0.543597	0x008B293
180	0.175810	0.543840	0.543839	0x008B391
181	0.176787	0.544082	0.544082	0x008B48F
182	0.177763	0.544324	0.544324	0x008B58D
183	0.178740	0.544566	0.544566	0x008B68B
184	0.179717	0.544809	0.544808	0x008B789
185	0.180693	0.545051	0.545051	0x008B887
186	0.181670	0.545293	0.545293	0x008B985
187	0.182647	0.545535	0.545535	0x008BA83
188	0.183624	0.545777	0.545777	0x008BB81
189	0.184600	0.546019	0.546020	0x008BC7F
190	0.185577	0.546262	0.546262	0x008BD7D
191	0.186554	0.546504	0.546504	0x008BE7B
192	0.187531	0.546746	0.546745	0x008BF78
193	0.188507	0.546988	0.546988	0x008C076
194	0.189484	0.547230	0.547230	0x008C174
195	0.190461	0.547472	0.547472	0x008C272
196	0.191437	0.547714	0.547713	0x008C36F
197	0.192414	0.547956	0.547956	0x008C46D
198	0.193391	0.548198	0.548198	0x008C56B
199	0.194368	0.548439	0.548439	0x008C668
200	0.195344	0.548681	0.548681	0x008C766
201	0.196321	0.548923	0.548923	0x008C864
202	0.197298	0.549165	0.549165	0x008C961
203	0.198274	0.549407	0.549407	0x008CA5F
204	0.199251	0.549649	0.549648	0x008CB5C
205	0.200228	0.549890	0.549891	0x008CC5A
206	0.201205	0.550132	0.550132	0x008CD57
207	0.202181	0.550374	0.550374	0x008CE55
208	0.203158	0.550616	0.550615	0x008CF52
209	0.204135	0.550857	0.550858	0x008D050
210	0.205112	0.551099	0.551099	0x008D14D
211	0.206088	0.551340	0.551340	0x008D24A
212	0.207065	0.551582	0.551582	0x008D348
213	0.208042	0.551824	0.551824	0x008D445
214	0.209018	0.552065	0.552065	0x008D542
215	0.209995	0.552307	0.552307	0x008D640
216	0.210972	0.552548	0.552548	0x008D73D
217	0.211949	0.552790	0.552790	0x008D83A
218	0.212925	0.553031	0.553031	0x008D937
219	0.213902	0.553273	0.553272	0x008DA34
220	0.214879	0.553514	0.553514	0x008DB31
221	0.215855	0.553755	0.553756	0x008DC2F
222	0.216832	0.553997	0.553997	0x008DD2C
223	0.217809	0.554238	0.554238	0x008DE29
224	0.218786	0.554479	0.554480	0x008DF26
225	0.219762	0.554721	0.554721	0x008E023
226	0.220739	0.554962	0.554962	0x008E120
227	0.221716	0.555203	0.555203	0x008E21D
228	0.222692	0.555444	0.555444	0x008E319
229	0.223669	0.555685	0.555685	0x008E416
230	0.224646	0.555926	0.555926	0x008E513
231	0.225623	0.556168	0.556168	0x008E610
232	0.226599	0.556409	0.556409	0x008E70D
233	0.227576	0.556650	0.556650	0x008E80A
234	0.228553	0.556891	0.556890	0x008E906
235	0.229530	0.557132	0.557132	0x008EA03
236	0.230506	0.557373	0.557373	0x008EB00
237	0.231483	0.557614	0.557613	0x008EBFC
238	0.232460	0.557855	0.557855	0x008ECF9
239	0.233436	0.558096	0.558096	0x008EDF6
240	0.234413	0.558336	0.558336	0x008EEF2
