================================================================================
Matrix-Vector Multiplication Results (Floating Point)
================================================================================

Input Vector (8 elements):
  [0.5   0.125 0.25  1.    0.625 0.5   0.125 0.25 ]

Weight Matrix Shape: (376, 8)

Output Results (376 elements):
================================================================================

Row    Result (Float)       Q8.8 Fixed      Hex (Q8.8)     
-----------------------------------------------------------------
0      -0.0460946250        -12             0xFFF4         
1      -0.0759743750        -19             0xFFED         
2      0.2215108750         57              0x0039         
3      0.0488971250         13              0x000D         
4      -0.0522938750        -13             0xFFF3         
5      -0.0127048750        -3              0xFFFD         
6      0.1135450000         29              0x001D         
7      -0.0720987500        -18             0xFFEE         
8      -0.0240541250        -6              0xFFFA         
9      -0.1420736250        -36             0xFFDC         
10     0.0771705000         20              0x0014         
11     0.1431065000         37              0x0025         
12     -0.0542143750        -14             0xFFF2         
13     -0.0265252500        -7              0xFFF9         
14     -0.0488735000        -13             0xFFF3         
15     -0.0295691250        -8              0xFFF8         
16     -0.0472648750        -12             0xFFF4         
17     -0.0500212500        -13             0xFFF3         
18     0.1623322500         42              0x002A         
19     0.0759910000         19              0x0013         
20     -0.0082075000        -2              0xFFFE         
21     -0.0317978750        -8              0xFFF8         
22     -0.0330870000        -8              0xFFF8         
23     0.0361023750         9               0x0009         
24     0.0441838750         11              0x000B         
25     -0.0340048750        -9              0xFFF7         
26     0.1005390000         26              0x001A         
27     -0.0089130000        -2              0xFFFE         
28     0.0769272500         20              0x0014         
29     0.1275152500         33              0x0021         
30     0.0495780000         13              0x000D         
31     0.0771238750         20              0x0014         
32     0.1331578750         34              0x0022         
33     -0.0264233750        -7              0xFFF9         
34     0.0093016250         2               0x0002         
35     0.0766680000         20              0x0014         
36     0.1263568750         32              0x0020         
37     0.0866553750         22              0x0016         
38     0.0111035000         3               0x0003         
39     0.0489168750         13              0x000D         
40     -0.0223730000        -6              0xFFFA         
41     -0.0197785000        -5              0xFFFB         
42     -0.0095110000        -2              0xFFFE         
43     0.0126025000         3               0x0003         
44     0.1803037500         46              0x002E         
45     0.0641496250         16              0x0010         
